Rank_Alpha,Country,Cultural_Region,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Groceries_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Rank_price,Price_rice_per_kg,Rank_cig,Price_cig_20_pack,Rank_cheese,Price_cheese_per_kg,Rank_egg,Price_eggs_dozen,Rank_milk,Price_milk_per_liter,Rank_water,Price_water_per_bottle,Rank_white_bread,Price_bread_halfkg,Rank_import_beer,Price_beer,GDP_2022_Usdollar,GDP_2022_(billion),GNI_2022_Usdollar,GNI_2022_(billion),GDP_per_capita_2022_Usdollar,GNI_per_capita_2022,2022_PPP_Internationaldollar,2022_Import_percentofGDP(%),,,,,
1,Albania,Western,35.5,8.47,22.83,29.32,25.82,30.19,38,1.99,54,3.72,34,10.34,25,3.33,14,1.85,49,0.63,58,0.9,62,1.87,18916378861,18.91637886,18815089738,18.81508974,6810.114041,6770,51674492278,47.75425831,,,,,
2,Algeria,MiddleEastern,26.87,4.59,16.43,28.82,14.48,24.63,57,1.48,69,2.61,62,7.62,68,1.7,73,0.9,77,0.3,82,0.16,53,2.01,1.94998E+11,194.9984498,1.76171E+11,176.1712021,4342.637968,3920,5.93926E+11,23.70705845,,,,,
3,Argentina,Latin American,34.69,7.71,22.04,28.17,33.32,30.72,71,1.06,78,2,69,6.41,71,1.6,74,0.87,23,0.97,47,1.21,57,1.9,6.31133E+11,631.1333844,5.35914E+11,535.9143263,13650.60463,11590,1.22662E+12,15.3509523,,,,,
4,Armenia,Eastern,33.89,11.61,23.45,27.59,30.55,28.86,27,2.25,70,2.51,58,8.02,54,2.11,35,1.44,47,0.67,62,0.71,60,1.87,19513474648,19.51347465,16574298012,16.57429801,7018.051504,5960,52733617566,50.99284468,,,,,
5,Australia,Western,77.75,36.84,58.57,77.44,72.95,104.63,30,2.17,1,29.15,36,10.17,12,3.96,28,1.55,6,1.72,15,2.46,5,5.66,1.69296E+12,1692.956647,1.58221E+12,1582.213831,65099.84591,60840,1.64397E+12,19.70962031,,,,,
6,Austria,Western,71.04,27.13,50.46,65.88,66.03,77.25,19,2.45,23,6.56,5,16.94,6,4.33,30,1.53,38,0.76,12,2.63,66,1.79,4.70942E+11,470.9419268,5.03844E+11,503.8440725,52084.6812,55720,6.13715E+11,61.60226372,,,,,
7,Azerbaijan,MiddleEastern,29.73,7.86,19.48,26.57,26.73,27.26,26,2.25,55,3.53,76,5.14,70,1.6,38,1.38,58,0.57,79,0.44,32,2.6,78721058824,78.72105882,57394329201,57.3943292,7762.073829,5660,1.80813E+11,27.02505795,,,,,
8,Bangladesh,Eastern,33.13,4.42,19.67,30.41,21.7,25.3,82,0.63,65,2.73,55,8.37,78,1.25,77,0.78,78,0.28,68,0.59,6,5.04,4.60201E+11,460.2012655,4.8336E+11,483.3596422,2688.305501,2820,1.26636E+12,20.89774084,,,,,
9,Belarus,Western,30.89,9.81,21.01,27.24,31.64,31.78,68,1.15,81,1.53,71,5.96,79,1.22,81,0.66,61,0.54,70,0.56,71,1.61,72793457588,72.79345759,66548879640,66.54887964,7888.263711,7210,2.08099E+11,57.87463292,,,,,
10,Belgium,Western,72.61,25.79,50.67,63.32,78.63,79.72,28,2.22,17,8.74,8,14.22,23,3.41,50,1.21,26,0.95,17,2.24,43,2.27,5.83436E+11,583.4355956,6.29745E+11,629.7449912,49926.82543,53890,7.65169E+11,97.36066232,,,,,
